[1.25400000e+04 1.00934485e-04]
[1.25410000e+04 9.73702627e-05]
[1.25420000e+04 1.01946127e-04]
[1.25430000e+04 1.02237507e-04]
[1.25440000e+04 1.02563346e-04]
[1.25450000e+04 1.09830115e-04]
[1.25460000e+04 1.16339412e-04]
[1.25470000e+04 1.11560104e-04]
[1.25480000e+04 1.02575104e-04]
[1.25490000e+04 1.01731675e-04]
[1.25500000e+04 1.03458959e-04]
[1.25510000e+04 1.07332584e-04]
[1.25520000e+04 1.12844129e-04]
[1.25530000e+04 1.11098227e-04]
[1.25540000e+04 1.07663407e-04]
[1.25550000e+04 1.04998217e-04]
[1.25560000e+04 1.04034982e-04]
[1.25570000e+04 1.06609383e-04]
[1.25580000e+04 1.08340668e-04]
[1.25590000e+04 1.06965774e-04]
[1.25600000e+04 1.09910972e-04]
[1.25610000e+04 1.09298002e-04]
[1.25620000e+04 1.14750888e-04]
[1.2563000e+04 1.1665652e-04]
[1.25640000e+04 1.13046131e-04]
[1.25650000e+04 1.10288187e-04]
[1.2566000e+04 1.0869078e-04]
[1.25670000e+04 1.03264625e-04]
[1.2568000e+04 1.0242837e-04]
[1.25690000e+04 1.02068167e-04]
[1.25700000e+04 1.01609912e-04]
[1.25710000e+04 9.83722348e-05]
[1.25720000e+04 9.81970006e-05]
[1.25730000e+04 9.94693619e-05]
[1.25740000e+04 1.02357262e-04]
[1.25750000e+04 1.09332184e-04]
[1.25760000e+04 1.08582492e-04]
[1.25770000e+04 1.06816246e-04]
[1.25780000e+04 1.04709638e-04]
[1.25790000e+04 1.04778373e-04]
[1.25800000e+04 1.06288579e-04]
[1.2581000e+04 1.0787326e-04]
[1.25820000e+04 1.12095004e-04]
[1.25830000e+04 1.07986496e-04]
[1.2584000e+04 1.0654817e-04]
[1.25850000e+04 1.07456683e-04]
[1.25860000e+04 1.08325272e-04]
[1.25870000e+04 1.09934845e-04]
[1.25880000e+04 1.11230547e-04]
[1.2589000e+04 1.1207132e-04]
[1.25900000e+04 1.08555068e-04]
[1.25910000e+04 1.04529492e-04]
[1.25920000e+04 1.01444857e-04]
[1.25930000e+04 9.90328481e-05]
[1.25940000e+04 9.92563946e-05]
[1.25950000e+04 1.00924728e-04]
[1.25960000e+04 1.02571576e-04]
[1.2597000e+04 1.0254376e-04]
[1.25980000e+04 1.07063788e-04]
[1.25990000e+04 1.21773034e-03]
[1.26000000e+04 3.31997726e-04]
[1.26010000e+04 2.24648727e-04]
[1.26020000e+04 1.26628409e-04]
[1.26030000e+04 1.17860727e-04]
[1.26040000e+04 1.70821106e-04]
[1.26050000e+04 1.32082961e-04]
[1.26060000e+04 9.96784293e-05]
[1.26070000e+04 9.69647663e-05]
[1.2608000e+04 1.0686936e-04]
[1.26090000e+04 1.16842733e-04]
[1.26100000e+04 1.28770567e-04]
[1.26110000e+04 1.03995997e-04]
[1.26120000e+04 1.24245329e-04]
[1.26130000e+04 1.08074208e-04]
[1.26140000e+04 1.09674504e-04]
[1.26150000e+04 1.19118013e-04]
[1.26160000e+04 1.20177807e-04]
[1.26170000e+04 1.12120033e-04]
[1.26180000e+04 2.86862632e-04]
[1.2619000e+04 2.0523915e-04]
[1.2620000e+04 1.1239892e-04]
[1.26210000e+04 1.17287214e-04]
[1.2622000e+04 1.4190111e-04]
[1.26230000e+04 1.02291233e-04]
[1.26240000e+04 8.53622259e-05]
[1.26250000e+04 1.16156029e-04]
[1.26260000e+04 9.66031294e-05]
[1.26270000e+04 8.10056808e-05]
[1.26280000e+04 1.03997801e-04]
[1.26290000e+04 1.27975523e-04]
[1.26300000e+04 1.24565602e-04]
[1.26310000e+04 1.05402934e-04]
[1.26320000e+04 1.43161189e-04]
[1.26330000e+04 1.03295177e-04]
[1.26340000e+04 7.07982181e-05]
[1.26350000e+04 9.34514173e-05]
[1.26360000e+04 1.14557595e-04]
[1.26370000e+04 1.23370992e-04]
[1.26380000e+04 1.09811663e-04]
[1.26390000e+04 1.13072965e-04]
[1.26400000e+04 1.12667622e-04]
[1.26410000e+04 1.86048113e-04]
[1.26420000e+04 1.31906098e-04]
[1.26430000e+04 7.38269155e-05]
[1.26440000e+04 9.61891928e-05]
[1.26450000e+04 9.00947343e-05]
[1.26460000e+04 1.37655166e-04]
[1.26470000e+04 1.23218837e-04]
[1.26480000e+04 1.29188513e-04]
[1.26490000e+04 1.10749279e-04]
[1.26500000e+04 8.90537558e-05]
[1.26510000e+04 1.30418019e-04]
[1.26520000e+04 1.24310289e-04]
[1.26530000e+04 1.23888778e-04]
[1.26540000e+04 1.06355517e-04]
[1.26550000e+04 1.21580437e-04]
[1.26560000e+04 1.27745996e-04]
[1.26570000e+04 1.34497939e-04]
[1.26580000e+04 1.20269906e-04]
[1.2659000e+04 1.1906962e-04]
[1.2660000e+04 1.0334402e-04]
[1.26610000e+04 1.47874962e-04]
[1.2662000e+04 8.9859117e-05]
[1.26630000e+04 8.61863373e-05]
[1.26640000e+04 1.53940564e-04]
[1.26650000e+04 1.29944543e-04]
[1.26660000e+04 1.08479864e-04]
[1.26670000e+04 5.44546128e-05]
[1.26680000e+04 7.57504531e-05]
[1.26690000e+04 1.02335434e-04]
[1.2670000e+04 1.0104903e-04]
[1.26710000e+04 1.07476517e-04]
[1.26720000e+04 1.31562076e-04]
[1.26730000e+04 1.00370788e-04]
[1.26740000e+04 1.03311962e-04]
[1.26750000e+04 1.42036923e-04]
[1.26760000e+04 1.22740268e-04]
[1.26770000e+04 1.08486332e-04]
[1.26780000e+04 1.15889452e-04]
[1.26790000e+04 8.48626005e-05]
[1.26800000e+04 1.06869804e-04]
[1.26810000e+04 1.08787077e-04]
[1.26820000e+04 1.14575771e-04]
[1.2683000e+04 1.2917284e-04]
[1.26840000e+04 1.20072793e-04]
[1.26850000e+04 1.47953717e-04]
[1.26860000e+04 8.06667304e-05]
[1.26870000e+04 8.44578681e-05]
[1.26880000e+04 1.12131311e-04]
[1.26890000e+04 1.09633649e-04]
[1.26900000e+04 1.22215482e-04]
[1.26910000e+04 1.14765971e-04]
[1.26920000e+04 1.11210014e-04]
[1.26930000e+04 1.03114224e-04]
[1.26940000e+04 1.21378733e-04]
[1.26950000e+04 1.25678707e-04]
[1.2696000e+04 1.0586303e-04]
[1.26970000e+04 1.17286174e-04]
[1.26980000e+04 1.04091974e-04]
[1.26990000e+04 1.06771724e-04]
[1.27000000e+04 1.08591099e-04]
[1.27010000e+04 1.11436995e-04]
[1.27020000e+04 1.06966058e-04]
[1.27030000e+04 1.09211403e-04]
[1.2704000e+04 9.9236473e-05]
[1.27050000e+04 1.03176229e-04]
[1.27060000e+04 9.18603328e-05]
[1.27070000e+04 9.63797575e-05]
[1.27080000e+04 9.73455608e-05]
[1.27090000e+04 1.04821273e-04]
[1.27100000e+04 1.12641486e-04]
[1.27110000e+04 1.13984657e-04]
[1.27120000e+04 1.10536108e-04]
[1.2713000e+04 1.0272723e-04]
[1.27140000e+04 1.08738241e-04]
[1.27150000e+04 1.14246686e-04]
[1.27160000e+04 1.02134749e-04]
[1.27170000e+04 1.03924496e-04]
[1.27180000e+04 1.06756313e-04]
[1.27190000e+04 1.10359761e-04]
[1.27200000e+04 1.17783697e-04]
[1.27210000e+04 1.19663702e-04]
[1.27220000e+04 1.28672269e-04]
[1.27230000e+04 1.09007575e-04]
[1.27240000e+04 1.04872102e-04]
[1.27250000e+04 1.01700993e-04]
[1.27260000e+04 9.05102133e-05]
[1.27270000e+04 9.32118637e-05]
[1.27280000e+04 9.64656501e-05]
[1.27290000e+04 1.06343272e-04]
[1.27300000e+04 1.09954395e-04]
[1.27310000e+04 1.07951855e-04]
[1.27320000e+04 1.03653016e-04]
[1.27330000e+04 9.56865697e-05]
[1.27340000e+04 1.17096599e-04]
[1.27350000e+04 1.07215907e-04]
[1.27360000e+04 1.09868757e-04]
[1.27370000e+04 1.15852214e-04]
[1.27380000e+04 1.12917733e-04]
[1.27390000e+04 8.67767521e-05]
[1.2740000e+04 9.8482582e-05]
[1.27410000e+04 1.14703347e-04]
[1.2742000e+04 1.1370024e-04]
[1.2743000e+04 1.1579616e-04]
[1.27440000e+04 1.21456156e-04]
[1.2745000e+04 1.1854653e-04]
[1.2746000e+04 9.7422002e-05]
[1.27470000e+04 8.29183773e-05]
[1.27480000e+04 1.07644562e-04]
[1.27490000e+04 1.32942456e-04]
[1.27500000e+04 1.19961362e-04]
[1.27510000e+04 1.48201158e-04]
[1.27520000e+04 1.26806437e-04]
[1.27530000e+04 1.18438948e-04]
[1.2754000e+04 1.5882861e-04]
[1.27550000e+04 9.07281865e-05]
[1.27560000e+04 1.01812097e-04]
[1.27570000e+04 1.04506194e-04]
[1.27580000e+04 9.88923421e-05]
[1.27590000e+04 1.11214758e-04]
[1.27600000e+04 1.17646137e-04]
[1.27610000e+04 1.05370484e-04]
[1.27620000e+04 1.04862738e-04]
[1.27630000e+04 1.47254614e-04]
[1.27640000e+04 1.09472036e-04]
[1.27650000e+04 1.06077314e-04]
[1.27660000e+04 1.19396296e-04]
[1.27670000e+04 1.18250107e-04]
[1.27680000e+04 9.97900061e-05]
[1.2769000e+04 1.0250249e-04]
[1.27700000e+04 1.22498212e-04]
[1.27710000e+04 1.13600196e-04]
[1.27720000e+04 1.03658043e-04]
[1.27730000e+04 1.07326065e-04]
[1.27740000e+04 1.19425073e-04]
[1.27750000e+04 1.09505949e-04]
[1.27760000e+04 1.04228995e-04]
[1.27770000e+04 9.81901685e-05]
[1.27780000e+04 1.00862388e-04]
[1.27790000e+04 1.06945103e-04]
[1.27800000e+04 1.40941091e-04]
[1.27810000e+04 2.93140212e-04]
[1.27820000e+04 3.75107804e-04]
[1.27830000e+04 3.02870263e-04]
[1.27840000e+04 5.95229794e-05]
[1.27850000e+04 1.21772973e-04]
[1.27860000e+04 1.24033802e-04]
[1.27870000e+04 1.14984861e-04]
[1.27880000e+04 1.09994711e-04]
[1.27890000e+04 1.01708683e-04]
[1.27900000e+04 7.58987226e-05]
[1.27910000e+04 1.25383391e-04]
[1.27920000e+04 1.17187104e-04]
[1.27930000e+04 1.55995978e-04]
[1.27940000e+04 1.15174742e-04]
[1.27950000e+04 1.13818016e-04]
[1.27960000e+04 1.89757237e-04]
[1.27970000e+04 1.05274281e-04]
[1.27980000e+04 1.56575145e-04]
[1.27990000e+04 1.21833407e-04]
[1.28000000e+04 9.95400696e-05]
[1.28010000e+04 1.25512655e-04]
[1.28020000e+04 1.01121521e-04]
[1.28030000e+04 1.08079032e-04]
[1.28040000e+04 9.43496489e-05]
[1.28050000e+04 1.28693282e-04]
[1.28060000e+04 9.56425793e-05]
[1.28070000e+04 1.42190111e-04]
[1.28080000e+04 1.39233511e-04]
[1.28090000e+04 1.14721857e-04]
[1.2810000e+04 1.0832338e-04]
[1.2811000e+04 2.3219602e-04]
[1.28120000e+04 1.43386831e-04]
[1.28130000e+04 1.19181947e-04]
[1.2814000e+04 9.0233043e-05]
[1.28150000e+04 1.41687167e-04]
[1.28160000e+04 1.84764678e-04]
[1.28170000e+04 9.23432453e-05]
[1.28180000e+04 9.20505045e-05]
[1.2819000e+04 8.7737033e-05]
[1.28200000e+04 1.00443976e-04]
[1.28210000e+04 1.01142949e-04]
[1.28220000e+04 9.07509166e-05]
[1.28230000e+04 1.21053701e-04]
[1.28240000e+04 1.48822175e-04]
[1.28250000e+04 6.49819631e-05]
[1.28260000e+04 1.02713166e-04]
[1.28270000e+04 1.15117306e-04]
[1.2828000e+04 1.2380784e-04]
[1.2829000e+04 1.1190051e-04]
[1.28300000e+04 1.14759634e-04]
[1.28310000e+04 1.43693615e-04]
[1.28320000e+04 1.71790278e-04]
[1.28330000e+04 1.04478131e-04]
[1.28340000e+04 1.32655448e-04]
[1.28350000e+04 1.67150167e-04]
[1.28360000e+04 1.11808615e-04]
[1.28370000e+04 9.60564503e-05]
[1.28380000e+04 1.25401595e-04]
[1.28390000e+04 1.23511782e-04]
[1.28400000e+04 8.75608312e-05]
[1.28410000e+04 1.18856929e-04]
[1.28420000e+04 5.62087298e-05]
[1.28430000e+04 1.06134197e-04]
[1.28440000e+04 9.35383723e-05]
[1.28450000e+04 9.63508064e-05]
[1.28460000e+04 1.21883255e-04]
[1.28470000e+04 1.38001167e-04]
[1.28480000e+04 1.16785079e-04]
[1.28490000e+04 1.74695553e-04]
[1.28500000e+04 1.31360168e-04]
[1.28510000e+04 8.47493939e-05]
[1.28520000e+04 1.08119741e-04]
[1.28530000e+04 1.43311452e-04]
[1.28540000e+04 1.06468084e-04]
[1.28550000e+04 1.13873277e-04]
[1.2856000e+04 1.8318514e-04]
[1.28570000e+04 1.42633362e-04]
[1.28580000e+04 1.67184277e-04]
[1.28590000e+04 1.30161119e-04]
[1.28600000e+04 1.08167864e-04]
[1.28610000e+04 1.77112845e-04]
[1.28620000e+04 1.39130119e-04]
[1.28630000e+04 1.35934795e-04]
[1.28640000e+04 1.29040825e-04]
[1.28650000e+04 1.44295758e-04]
[1.2866000e+04 9.9397279e-05]
[1.28670000e+04 8.16225584e-05]
[1.2868000e+04 1.4843684e-04]
[1.28690000e+04 8.74835314e-05]
[1.28700000e+04 9.23344633e-05]
[1.28710000e+04 1.10366353e-04]
[1.28720000e+04 1.05755884e-04]
[1.28730000e+04 1.11337016e-04]
[1.28740000e+04 1.19175682e-04]
[1.28750000e+04 9.64879437e-05]
[1.28760000e+04 1.16723255e-04]
[1.28770000e+04 1.01583661e-04]
[1.28780000e+04 1.10880566e-04]
[1.28790000e+04 1.07128981e-04]
[1.28800000e+04 1.74776476e-04]
[1.28810000e+04 9.60307807e-05]
[1.28820000e+04 1.00451776e-04]
[1.28830000e+04 1.07637359e-04]
[1.28840000e+04 1.09535213e-04]
[1.28850000e+04 1.13124501e-04]
[1.28860000e+04 1.30905231e-04]
[1.28870000e+04 1.30213666e-04]
[1.28880000e+04 7.80415139e-05]
[1.28890000e+04 9.97974639e-05]
[1.2890000e+04 5.4305583e-05]
[1.28910000e+04 1.30257729e-04]
[1.28920000e+04 1.15469658e-04]
